name,capital,region,subregion,population,area,latitude,longitude,density,fecha_extraccion
Svalbard and Jan Mayen,Longyearbyen,Europe,Northern Europe,2530,61399.0,78.0,20.0,0.041205882831967945,2026-04-14T16:56:47.774330
Colombia,Bogotá,Americas,South America,53057212,1141748.0,4.0,-72.0,46.470159790076266,2026-04-14T16:56:47.774334
Guinea-Bissau,Bissau,Africa,Western Africa,1781308,36125.0,12.0,-15.0,49.30956401384083,2026-04-14T16:56:47.774341
Kiribati,South Tarawa,Oceania,Micronesia,120740,811.0,1.41666666,173.0,148.87792848335388,2026-04-14T16:56:47.774345
Germany,Berlin,Europe,Western Europe,83491249,357114.0,51.0,9.0,233.79438778653315,2026-04-14T16:56:47.774348
Thailand,Bangkok,Asia,South-Eastern Asia,65859640,513120.0,15.0,100.0,128.3513408169629,2026-04-14T16:56:47.774352
Isle of Man,Douglas,Europe,Northern Europe,84530,572.0,54.25,-4.5,147.77972027972027,2026-04-14T16:56:47.774356
Bhutan,Thimphu,Asia,Southern Asia,784043,38394.0,27.5,90.5,20.420977236026463,2026-04-14T16:56:47.774360
Gabon,Libreville,Africa,Middle Africa,2469296,267668.0,-1.0,11.75,9.225219301522783,2026-04-14T16:56:47.774363
Sint Maarten,Philipsburg,Americas,Caribbean,41349,34.0,18.033333,-63.05,1216.1470588235295,2026-04-14T16:56:47.774367
Sri Lanka,Sri Jayawardenepura Kotte,Asia,Southern Asia,21763170,65610.0,7.0,81.0,331.7050754458162,2026-04-14T16:56:47.774370
Albania,Tirana,Europe,Southeast Europe,2363314,28748.0,41.0,20.0,82.20794490051482,2026-04-14T16:56:47.774374
New Zealand,Wellington,Oceania,Australia and New Zealand,5324700,268838.0,-41.0,174.0,19.80635178062625,2026-04-14T16:56:47.774377
Algeria,Algiers,Africa,Northern Africa,47400000,2381741.0,28.0,3.0,19.901408255557595,2026-04-14T16:56:47.774381
San Marino,City of San Marino,Europe,Southern Europe,34132,61.0,43.76666666,12.41666666,559.5409836065573,2026-04-14T16:56:47.774384
Micronesia,Palikir,Oceania,Micronesia,105564,702.0,6.91666666,158.25,150.3760683760684,2026-04-14T16:56:47.774388
"Saint Helena, Ascension and Tristan da Cunha",Jamestown,Africa,Western Africa,5651,394.0,-15.95,-5.72,14.342639593908629,2026-04-14T16:56:47.774392
Curaçao,Willemstad,Americas,Caribbean,156115,444.0,12.116667,-68.933333,351.61036036036035,2026-04-14T16:56:47.774395
El Salvador,San Salvador,Americas,Central America,6029976,21041.0,13.83333333,-88.91666666,286.58219666365665,2026-04-14T16:56:47.774398
Martinique,Fort-de-France,Americas,Caribbean,349925,1128.0,14.666667,-61.0,310.2171985815603,2026-04-14T16:56:47.774402
Nauru,Yaren,Oceania,Micronesia,11680,21.0,-0.53333333,166.91666666,556.1904761904761,2026-04-14T16:56:47.774406
Vatican City,Vatican City,Europe,Southern Europe,882,0.49,41.9,12.45,1800.0,2026-04-14T16:56:47.774409
Grenada,St. George's,Americas,Caribbean,109021,344.0,12.11666666,-61.66666666,316.92151162790697,2026-04-14T16:56:47.774416
Tonga,Nuku'alofa,Oceania,Polynesia,100179,747.0,-20.0,-175.0,134.10843373493975,2026-04-14T16:56:47.774420
Burundi,Gitega,Africa,Eastern Africa,12332788,27834.0,-3.5,30.0,443.083566860674,2026-04-14T16:56:47.774423
Samoa,Apia,Oceania,Polynesia,205557,2842.0,-13.58333333,-172.33333333,72.32828993666432,2026-04-14T16:56:47.774427
Denmark,Copenhagen,Europe,Northern Europe,6011488,43094.0,56.0,10.0,139.49709936418063,2026-04-14T16:56:47.774431
Venezuela,Caracas,Americas,South America,28517000,916445.0,8.0,-66.0,31.116979196787586,2026-04-14T16:56:47.774435
Austria,Vienna,Europe,Central Europe,9200931,83871.0,47.33333333,13.33333333,109.70336588332081,2026-04-14T16:56:47.774439
Slovakia,Bratislava,Europe,Central Europe,5413813,49037.0,48.66666666,19.5,110.40261435242776,2026-04-14T16:56:47.774443
China,Beijing,Asia,Eastern Asia,1408280000,9706961.0,35.0,105.0,145.07939199508476,2026-04-14T16:56:47.774447
British Indian Ocean Territory,Diego Garcia,Africa,Eastern Africa,0,60.0,-6.0,71.5,0.0,2026-04-14T16:56:47.774451
French Polynesia,Papeetē,Oceania,Polynesia,279500,4167.0,-17.6797,-149.4068,67.07463402927766,2026-04-14T16:56:47.774455
Bolivia,Sucre,Americas,South America,11365333,1098581.0,-17.0,-65.0,10.34546656095454,2026-04-14T16:56:47.774459
